iter	Passed	Remaining
1269	49739	67755
1270	49776	67712
1271	49812	67669
1272	49847	67624
1273	49885	67583
1274	49929	67551
1275	49963	67506
1276	50000	67463
1277	50040	67425
1278	50083	67390
1279	50119	67347
1280	50151	67299
1281	50187	67255
1282	50222	67210
1283	50257	67166
1284	50297	67128
1285	50332	67084
1286	50370	67043
1287	50405	66998
1288	50448	66965
1289	50484	66921
1290	50519	66876
1291	50556	66834
1292	50599	66800
1293	50636	66758
1294	50672	66715
1295	50705	66668
1296	50741	66624
1297	50783	66590
1298	50816	66542
1299	50852	66499
1300	50887	66454
1301	50928	66417
1302	50964	66375
1303	51001	66333
1304	51037	66290
1305	51072	66245
1306	51119	66217
1307	51159	66178
1308	51196	66137
1309	51232	66093
1310	51276	66061
1311	51338	66051
1312	51394	66034
1313	51474	66047
1314	51535	66036
1315	51601	66030
1316	51667	66026
1317	51704	65983
1318	51738	65937
1319	51783	65905
1320	51817	65859
1321	51855	65818
1322	51889	65774
1323	51928	65734
1324	51974	65703
1325	52009	65659
1326	52045	65615
1327	52079	65570
1328	52121	65533
1329	52164	65500
1330	52199	65455
1331	52235	65411
1332	52271	65368
1333	52305	65323
1334	52359	65302
1335	52393	65256
1336	52427	65210
1337	52463	65167
1338	52499	65123
1339	52538	65084
1340	52572	65039
1341	52606	64993
1342	52640	64948
1343	52685	64915
1344	52719	64870
1345	52755	64827
1346	52791	64784
1347	52828	64741
1348	52872	64709
1349	52907	64664
1350	52943	64621
1351	52977	64575
1352	53019	64539
1353	53054	64495
1354	53086	64448
1355	53122	64404
1356	53160	64364
1357	53204	64331
1358	53241	64288
1359	53275	64243
1360	53309	64198
1361	53355	64167
1362	53389	64122
1363	53426	64080
1364	53461	64035
1365	53499	63995
1366	53539	63957
1367	53571	63910
1368	53605	63864
1369	53640	63820
1370	53678	63780
1371	53714	63737
1372	53752	63696
1373	53787	63652
1374	53823	63610
1375	53868	63577
1376	53900	63530
1377	53935	63485
1378	53971	63443
1379	54006	63399
1380	54047	63362
1381	54084	63320
1382	54118	63275
1383	54152	63229
1384	54196	63196
1385	54231	63152
1386	54268	63110
1387	54302	63066
1388	54344	63030
1389	54380	62988
1390	54413	62941
1391	54447	62896
1392	54484	62855
1393	54525	62818
1394	54563	62777
1395	54598	62733
1396	54633	62689
1397	54679	62657
1398	54712	62612
1399	54745	62566
1400	54781	62523
1401	54824	62488
1402	54857	62442
1403	54890	62396
1404	54925	62352
1405	54958	62307
1406	55004	62275
1407	55045	62238
1408	55080	62195
1409	55117	62153
1410	55158	62116
1411	55194	62074
1412	55231	62032
1413	55267	61989
1414	55307	61952
1415	55351	61918
1416	55385	61873
1417	55421	61831
1418	55455	61787
1419	55490	61743
1420	55622	61807
1421	55657	61763
1422	55692	61719
1423	55739	61689
1424	55774	61645
1425	55810	61602
1426	55846	61560
1427	55888	61523
1428	55922	61479
1429	55959	61437
1430	55994	61393
1431	56030	61352
1432	56076	61320
1433	56111	61276
1434	56147	61234
1435	56180	61188
1436	56216	61145
1437	56263	61115
1438	56302	61075
1439	56338	61033
1440	56372	60988
1441	56405	60943
1442	56446	60906
1443	56480	60860
1444	56513	60815
1445	56547	60771
1446	56587	60732
1447	56626	60693
1448	56660	60649
1449	56697	60607
1450	56732	60564
1451	56768	60521
1452	56811	60487
1453	56847	60444
1454	56883	60402
1455	56918	60358
1456	56955	60317
1457	56996	60280
1458	57033	60238
1459	57067	60194
1460	57103	60151
1461	57145	60115
1462	57183	60075
1463	57218	60032
1464	57254	59990
1465	57291	59949
1466	57336	59915
1467	57371	59872
1468	57406	59828
1469	57441	59786
1470	57481	59748
1471	57514	59702
1472	57550	59659
1473	57582	59613
1474	57622	59575
1475	57656	59531
1476	57692	59489
1477	57729	59448
1478	57765	59405
1479	57810	59372
1480	57845	59330
1481	57878	59284
1482	57912	59240
1483	57954	59203
1484	57989	59160
1485	58023	59117
1486	58057	59072
1487	58090	59027
1488	58138	58997
1489	58172	58953
1490	58207	58910
1491	58243	58868
1492	58277	58823
1493	58312	58781
1494	58356	58746
1495	58389	58701
1496	58422	58657
1497	58457	58613
1498	58490	58568
1499	58526	58526
1500	58570	58492
1501	58607	58451
1502	58641	58407
1503	58674	58362
1504	58716	58325
1505	58751	58283
1506	58784	58238
1507	58827	58203
1508	58866	58164
1509	58910	58130
1510	58945	58086
1511	58978	58042
1512	59013	57999
1513	59059	57966
1514	59094	57924
1515	59130	57881
1516	59164	57838
1517	59208	57803
1518	59242	57760
1519	59277	57717
1520	59311	57673
1521	59345	57629
1522	59388	57594
1523	59423	57551
1524	59460	57510
1525	59496	57468
1526	59537	57431
1527	59579	57395
1528	59617	57356
1529	59656	57317
1530	59704	57286
1531	59744	57248
1532	59786	57212
1533	59827	57175
1534	59876	57146
1535	59922	57113
1536	59971	57084
1537	60014	57048
1538	60064	57020
1539	60113	56990
1540	60160	56959
1541	60201	56921
1542	60252	56893
1543	60294	56858
1544	60337	56822
1545	60374	56781
1546	60417	56746
1547	60452	56703
1548	60486	56660
1549	60522	56618
1550	60561	56578
1551	60604	56543
1552	60638	56499
1553	60673	56456
